Week #,Start,End,Special Events
1,9/14/1989,9/20/1989,   
2,9/21/1989,9/27/1989,  
3,9/28/1989,10/4/1989,  
4,10/5/1989,10/11/1989,  
5,10/12/1989,10/18/1989,  
6,10/19/1989,10/25/1989,  
7,10/26/1989,11/1/1989,Halloween  
8,11/2/1989,11/8/1989,  
9,11/9/1989,11/15/1989,  
10,11/16/1989,11/22/1989,  
11,11/23/1989,11/29/1989,Thanksgiving  
12,11/30/1989,12/6/1989,  
13,12/7/1989,12/13/1989,  
14,12/14/1989,12/20/1989,  
15,12/21/1989,12/27/1989,Christmas  
16,12/28/1989,1/3/1990,New-Year  
17,1/4/1990,1/10/1990,  
18,1/11/1990,1/17/1990,  
19,1/18/1990,1/24/1990,  
20,1/25/1990,1/31/1990,  
21,2/1/1990,2/7/1990,  
22,2/8/1990,2/14/1990,  
23,2/15/1990,2/21/1990,Presidents Day 
24,2/22/1990,2/28/1990,  
25,3/1/1990,3/7/1990,  
26,3/8/1990,3/14/1990,  
27,3/15/1990,3/21/1990,  
28,3/22/1990,3/28/1990,Easter  
29,3/29/1990,4/4/1990,  
30,4/5/1990,4/11/1990,  
31,4/12/1990,4/18/1990,  
32,4/19/1990,4/25/1990,  
33,4/26/1990,5/2/1990,  
34,5/3/1990,5/9/1990,  
35,5/10/1990,5/16/1990,  
36,5/17/1990,5/23/1990,  
37,5/24/1990,5/30/1990,Memorial Day 
38,5/31/1990,6/6/1990,  
39,6/7/1990,6/13/1990,  
40,6/14/1990,6/20/1990,  
41,6/21/1990,6/27/1990,  
42,6/28/1990,7/4/1990,4th of July
43,7/5/1990,7/11/1990,  
44,7/12/1990,7/18/1990,  
45,7/19/1990,7/25/1990,  
46,7/26/1990,8/1/1990,  
47,8/2/1990,8/8/1990,  
48,8/9/1990,8/15/1990,  
49,8/16/1990,8/22/1990,  
50,8/23/1990,8/29/1990,  
51,8/30/1990,9/5/1990,Labor Day 
52,9/6/1990,9/12/1990,  
53,9/13/1990,9/19/1990,  
54,9/20/1990,9/26/1990,  
55,9/27/1990,10/3/1990,  
56,10/4/1990,10/10/1990,  
57,10/11/1990,10/17/1990,  
58,10/18/1990,10/24/1990,  
59,10/25/1990,10/31/1990,Halloween  
60,11/1/1990,11/7/1990,  
61,11/8/1990,11/14/1990,  
62,11/15/1990,11/21/1990,  
63,11/22/1990,11/28/1990,Thanksgiving  
64,11/29/1990,12/5/1990,  
65,12/6/1990,12/12/1990,  
66,12/13/1990,12/19/1990,  
67,12/20/1990,12/26/1990,Christmas  
68,12/27/1990,1/2/1991,New-Year  
69,1/3/1991,1/9/1991,  
70,1/10/1991,1/16/1991,  
71,1/17/1991,1/23/1991,  
72,1/24/1991,1/30/1991,  
73,1/31/1991,2/6/1991,  
74,2/7/1991,2/13/1991,  
75,2/14/1991,2/20/1991,Presidents Day 
76,2/21/1991,2/27/1991,  
77,2/28/1991,3/6/1991,  
78,3/7/1991,3/13/1991,  
79,3/14/1991,3/20/1991,  
80,3/21/1991,3/27/1991,  
81,3/28/1991,4/3/1991,Easter  
82,4/4/1991,4/10/1991,  
83,4/11/1991,4/17/1991,  
84,4/18/1991,4/24/1991,  
85,4/25/1991,5/1/1991,  
86,5/2/1991,5/8/1991,  
87,5/9/1991,5/15/1991,  
88,5/16/1991,5/22/1991,  
89,5/23/1991,5/29/1991,Memorial Day 
90,5/30/1991,6/5/1991,  
91,6/6/1991,6/12/1991,  
92,6/13/1991,6/19/1991,  
93,6/20/1991,6/26/1991,  
94,6/27/1991,7/3/1991,  
95,7/4/1991,7/10/1991,4th of July
96,7/11/1991,7/17/1991,  
97,7/18/1991,7/24/1991,  
98,7/25/1991,7/31/1991,  
99,8/1/1991,8/7/1991,  
100,8/8/1991,8/14/1991,  
101,8/15/1991,8/21/1991,  
102,8/22/1991,8/28/1991,  
103,8/29/1991,9/4/1991,Labor Day 
104,9/5/1991,9/11/1991,  
105,9/12/1991,9/18/1991,  
106,9/19/1991,9/25/1991,  
107,9/26/1991,10/2/1991,  
108,10/3/1991,10/9/1991,  
109,10/10/1991,10/16/1991,  
110,10/17/1991,10/23/1991,  
111,10/24/1991,10/30/1991,  
112,10/31/1991,11/6/1991,Halloween  
113,11/7/1991,11/13/1991,  
114,11/14/1991,11/20/1991,  
115,11/21/1991,11/27/1991,  
116,11/28/1991,12/4/1991,Thanksgiving  
117,12/5/1991,12/11/1991,  
118,12/12/1991,12/18/1991,  
119,12/19/1991,12/25/1991,Christmas  
120,12/26/1991,1/1/1992,New-Year  
121,1/2/1992,1/8/1992,  
122,1/9/1992,1/15/1992,  
123,1/16/1992,1/22/1992,  
124,1/23/1992,1/29/1992,  
125,1/30/1992,2/5/1992,  
126,2/6/1992,2/12/1992,  
127,2/13/1992,2/19/1992,  
128,2/20/1992,2/26/1992,Presidents Day 
129,2/27/1992,3/4/1992,  
130,3/5/1992,3/11/1992,  
131,3/12/1992,3/18/1992,  
132,3/19/1992,3/25/1992,  
133,3/26/1992,4/1/1992,Easter  
134,4/2/1992,4/8/1992,  
135,4/9/1992,4/15/1992,  
136,4/16/1992,4/22/1992,  
137,4/23/1992,4/29/1992,  
138,4/30/1992,5/6/1992,  
139,5/7/1992,5/13/1992,  
140,5/14/1992,5/20/1992,  
141,5/21/1992,5/27/1992,Memorial Day 
142,5/28/1992,6/3/1992,  
143,6/4/1992,6/10/1992,  
144,6/11/1992,6/17/1992,  
145,6/18/1992,6/24/1992,  
146,6/25/1992,7/1/1992,  
147,7/2/1992,7/8/1992,4th of July
148,7/9/1992,7/15/1992,  
149,7/16/1992,7/22/1992,  
150,7/23/1992,7/29/1992,  
151,7/30/1992,8/5/1992,  
152,8/6/1992,8/12/1992,  
153,8/13/1992,8/19/1992,  
154,8/20/1992,8/26/1992,  
155,8/27/1992,9/2/1992,  
156,9/3/1992,9/9/1992,Labor Day 
157,9/10/1992,9/16/1992,  
158,9/17/1992,9/23/1992,  
159,9/24/1992,9/30/1992,  
160,10/1/1992,10/7/1992,  
161,10/8/1992,10/14/1992,  
162,10/15/1992,10/21/1992,  
163,10/22/1992,10/28/1992,  
164,10/29/1992,11/4/1992,Halloween  
165,11/5/1992,11/11/1992,  
166,11/12/1992,11/18/1992,  
167,11/19/1992,11/25/1992,  
168,11/26/1992,12/2/1992,Thanksgiving  
169,12/3/1992,12/9/1992,  
170,12/10/1992,12/16/1992,  
171,12/17/1992,12/23/1992,  
172,12/24/1992,12/30/1992,Christmas  
173,12/31/1992,1/6/1993,New-Year  
174,1/7/1993,1/13/1993,  
175,1/14/1993,1/20/1993,  
176,1/21/1993,1/27/1993,  
177,1/28/1993,2/3/1993,  
178,2/4/1993,2/10/1993,  
179,2/11/1993,2/17/1993,  
180,2/18/1993,2/24/1993,Presidents Day 
181,2/25/1993,3/3/1993,  
182,3/4/1993,3/10/1993,  
183,3/11/1993,3/17/1993,  
184,3/18/1993,3/24/1993,  
185,3/25/1993,3/31/1993,Easter  
186,4/1/1993,4/7/1993,  
187,4/8/1993,4/14/1993,  
188,4/15/1993,4/21/1993,  
189,4/22/1993,4/28/1993,  
190,4/29/1993,5/5/1993,  
191,5/6/1993,5/12/1993,  
192,5/13/1993,5/19/1993,  
193,5/20/1993,5/26/1993,  
194,5/27/1993,6/2/1993,Memorial Day 
195,6/3/1993,6/9/1993,  
196,6/10/1993,6/16/1993,  
197,6/17/1993,6/23/1993,  
198,6/24/1993,6/30/1993,  
199,7/1/1993,7/7/1993,4th of July
200,7/8/1993,7/14/1993,  
201,7/15/1993,7/21/1993,  
202,7/22/1993,7/28/1993,  
203,7/29/1993,8/4/1993,  
204,8/5/1993,8/11/1993,  
205,8/12/1993,8/18/1993,  
206,8/19/1993,8/25/1993,  
207,8/26/1993,9/1/1993,  
208,9/2/1993,9/8/1993,Labor Day 
209,9/9/1993,9/15/1993,  
210,9/16/1993,9/22/1993,  
211,9/23/1993,9/29/1993,  
212,9/30/1993,10/6/1993,  
213,10/7/1993,10/13/1993,  
214,10/14/1993,10/20/1993,  
215,10/21/1993,10/27/1993,  
216,10/28/1993,11/3/1993,Halloween  
217,11/4/1993,11/10/1993,  
218,11/11/1993,11/17/1993,  
219,11/18/1993,11/24/1993,  
220,11/25/1993,12/1/1993,Thanksgiving  
221,12/2/1993,12/8/1993,  
222,12/9/1993,12/15/1993,  
223,12/16/1993,12/22/1993,  
224,12/23/1993,12/29/1993,Christmas  
225,12/30/1993,1/5/1994,New-Year  
226,1/6/1994,1/12/1994,  
227,1/13/1994,1/19/1994,  
228,1/20/1994,1/26/1994,  
229,1/27/1994,2/2/1994,  
230,2/3/1994,2/9/1994,  
231,2/10/1994,2/16/1994,  
232,2/17/1994,2/23/1994,Presidents Day 
233,2/24/1994,3/2/1994,  
234,3/3/1994,3/9/1994,  
235,3/10/1994,3/16/1994,  
236,3/17/1994,3/23/1994,  
237,3/24/1994,3/30/1994,  
238,3/31/1994,4/6/1994,Easter  
239,4/7/1994,4/13/1994,  
240,4/14/1994,4/20/1994,  
241,4/21/1994,4/27/1994,  
242,4/28/1994,5/4/1994,  
243,5/5/1994,5/11/1994,  
244,5/12/1994,5/18/1994,  
245,5/19/1994,5/25/1994,  
246,5/26/1994,6/1/1994,Memorial Day 
247,6/2/1994,6/8/1994,  
248,6/9/1994,6/15/1994,  
249,6/16/1994,6/22/1994,  
250,6/23/1994,6/29/1994,  
251,6/30/1994,7/6/1994,4th of July
252,7/7/1994,7/13/1994,  
253,7/14/1994,7/20/1994,  
254,7/21/1994,7/27/1994,  
255,7/28/1994,8/3/1994,  
256,8/4/1994,8/10/1994,  
257,8/11/1994,8/17/1994,  
258,8/18/1994,8/24/1994,  
259,8/25/1994,8/31/1994,  
260,9/1/1994,9/7/1994,Labor Day 
261,9/8/1994,9/14/1994,  
262,9/15/1994,9/21/1994,  
263,9/22/1994,9/28/1994,  
264,9/29/1994,10/5/1994,  
265,10/6/1994,10/12/1994,  
266,10/13/1994,10/19/1994,  
267,10/20/1994,10/26/1994,  
268,10/27/1994,11/2/1994,Halloween  
269,11/3/1994,11/9/1994,  
270,11/10/1994,11/16/1994,  
271,11/17/1994,11/23/1994,  
272,11/24/1994,11/30/1994,Thanksgiving  
273,12/1/1994,12/7/1994,  
274,12/8/1994,12/14/1994,  
275,12/15/1994,12/21/1994,  
276,12/22/1994,12/28/1994,Christmas  
277,12/29/1994,1/4/1995,New-Year  
278,1/5/1995,1/11/1995,  
279,1/12/1995,1/18/1995,  
280,1/19/1995,1/25/1995,  
281,1/26/1995,2/1/1995,  
282,2/2/1995,2/8/1995,  
283,2/9/1995,2/15/1995,  
284,2/16/1995,2/22/1995,Presidents Day 
285,2/23/1995,3/1/1995,  
286,3/2/1995,3/8/1995,  
287,3/9/1995,3/15/1995,  
288,3/16/1995,3/22/1995,  
289,3/23/1995,3/29/1995,Easter  
290,3/30/1995,4/5/1995,  
291,4/6/1995,4/12/1995,  
292,4/13/1995,4/19/1995,  
293,4/20/1995,4/26/1995,  
294,4/27/1995,5/3/1995,  
295,5/4/1995,5/10/1995,  
296,5/11/1995,5/17/1995,  
297,5/18/1995,5/24/1995,  
298,5/25/1995,5/31/1995,Memorial Day 
299,6/1/1995,6/7/1995,  
300,6/8/1995,6/14/1995,  
301,6/15/1995,6/21/1995,  
302,6/22/1995,6/28/1995,  
303,6/29/1995,7/5/1995,4th of July
304,7/6/1995,7/12/1995,  
305,7/13/1995,7/19/1995,  
306,7/20/1995,7/26/1995,  
307,7/27/1995,8/2/1995,  
308,8/3/1995,8/9/1995,  
309,8/10/1995,8/16/1995,  
310,8/17/1995,8/23/1995,  
311,8/24/1995,8/30/1995,  
312,8/31/1995,9/6/1995,Labor Day 
313,9/7/1995,9/13/1995,  
314,9/14/1995,9/20/1995,  
315,9/21/1995,9/27/1995,  
316,9/28/1995,10/4/1995,  
317,10/5/1995,10/11/1995,  
318,10/12/1995,10/18/1995,  
319,10/19/1995,10/25/1995,  
320,10/26/1995,11/1/1995,Halloween  
321,11/2/1995,11/8/1995,  
322,11/9/1995,11/15/1995,  
323,11/16/1995,11/22/1995,  
324,11/23/1995,11/29/1995,Thanksgiving  
325,11/30/1995,12/6/1995,  
326,12/7/1995,12/13/1995,  
327,12/14/1995,12/20/1995,  
328,12/21/1995,12/27/1995,Christmas  
329,12/28/1995,1/3/1996,New-Year  
330,1/4/1996,1/10/1996,  
331,1/11/1996,1/17/1996,  
332,1/18/1996,1/24/1996,  
333,1/25/1996,1/31/1996,  
334,2/1/1996,2/7/1996,  
335,2/8/1996,2/14/1996,  
336,2/15/1996,2/21/1996,Presidents Day 
337,2/22/1996,2/28/1996,  
338,2/29/1996,3/6/1996,  
339,3/7/1996,3/13/1996,  
340,3/14/1996,3/20/1996,  
341,3/21/1996,3/27/1996,Easter  
342,3/28/1996,4/3/1996,  
343,4/4/1996,4/10/1996,  
344,4/11/1996,4/17/1996,  
345,4/18/1996,4/24/1996,  
346,4/25/1996,5/1/1996,  
347,5/2/1996,5/8/1996,  
348,5/9/1996,5/15/1996,  
349,5/16/1996,5/22/1996,  
350,5/23/1996,5/29/1996,Memorial Day 
351,5/30/1996,6/5/1996,  
352,6/6/1996,6/12/1996,  
353,6/13/1996,6/19/1996,  
354,6/20/1996,6/26/1996,  
355,6/27/1996,7/3/1996,  
356,7/4/1996,7/10/1996,4th of July
357,7/11/1996,7/17/1996,  
358,7/18/1996,7/24/1996,  
359,7/25/1996,7/31/1996,  
360,8/1/1996,8/7/1996,  
361,8/8/1996,8/14/1996,  
362,8/15/1996,8/21/1996,  
363,8/22/1996,8/28/1996,  
364,8/29/1996,9/4/1996,Labor Day 
365,9/5/1996,9/11/1996,  
366,9/12/1996,9/18/1996,  
367,9/19/1996,9/25/1996,  
368,9/26/1996,10/2/1996,  
369,10/3/1996,10/9/1996,  
370,10/10/1996,10/16/1996,  
371,10/17/1996,10/23/1996,  
372,10/24/1996,10/30/1996,Halloween  
373,10/31/1996,11/6/1996,  
374,11/7/1996,11/13/1996,  
375,11/14/1996,11/20/1996,  
376,11/21/1996,11/27/1996,  
377,11/28/1996,12/4/1996,Thanksgiving  
378,12/5/1996,12/11/1996,  
379,12/12/1996,12/18/1996,  
380,12/19/1996,12/25/1996,Christmas  
381,12/26/1996,1/1/1997,New-Year  
382,1/2/1997,1/8/1997,  
383,1/9/1997,1/15/1997,  
384,1/16/1997,1/22/1997,  
385,1/23/1997,1/29/1997,  
386,1/30/1997,2/5/1997,  
387,2/6/1997,2/12/1997,  
388,2/13/1997,2/19/1997,  
389,2/20/1997,2/26/1997,Presidents Day 
390,2/27/1997,3/5/1997,  
391,3/6/1997,3/12/1997,  
392,3/13/1997,3/19/1997,  
393,3/20/1997,3/26/1997,Easter  
394,3/27/1997,4/2/1997,  
395,4/3/1997,4/9/1997,  
396,4/10/1997,4/16/1997,  
397,4/17/1997,4/23/1997,  
398,4/24/1997,4/30/1997,  
399,5/1/1997,5/7/1997,  
400,5/8/1997,5/14/1997,  
